doc_id,Sentiment,topic_label,entity,entity_type,score
0,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.4684
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.7513
0,Negative,Kebijakan & Prioritas Program,antara,ORG,0.8159
0,Negative,Kebijakan & Prioritas Program,sekretaris komisi e dprd dki jakarta,NOR,0.9575
0,Negative,Kebijakan & Prioritas Program,justin adrian untayana,PER,0.9865
0,Negative,Kebijakan & Prioritas Program,lembaga pengelola dana pendidikan,ORG,0.8939
0,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.8261
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9743
0,Negative,Kebijakan & Prioritas Program,justin,PER,0.9971
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9974
0,Negative,Kebijakan & Prioritas Program,selasa,DAT,0.9374
0,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.4512
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9835
0,Negative,Kebijakan & Prioritas Program,negeri,ORG,0.4525
0,Negative,Kebijakan & Prioritas Program,justin,PER,0.9787
0,Negative,Kebijakan & Prioritas Program,pemerintah,NOR,0.9027
0,Negative,Kebijakan & Prioritas Program,pem,ORG,0.5272
0,Negative,Kebijakan & Prioritas Program,dki,GPE,0.7968
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9646
0,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.5881
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9541
0,Negative,Kebijakan & Prioritas Program,justin,PER,0.9533
0,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.6421
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.985
0,Negative,Kebijakan & Prioritas Program,##u,ORG,0.6562
0,Negative,Kebijakan & Prioritas Program,bansos,ORG,0.5566
0,Negative,Kebijakan & Prioritas Program,gubernur,NOR,0.6292
0,Negative,Kebijakan & Prioritas Program,dki,GPE,0.822
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9838
0,Negative,Kebijakan & Prioritas Program,pram,ORG,0.523
0,Negative,Kebijakan & Prioritas Program,anung,ORG,0.5402
0,Negative,Kebijakan & Prioritas Program,wibowo,PER,0.6164
0,Negative,Kebijakan & Prioritas Program,program,ORG,0.6765
0,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.6882
0,Negative,Kebijakan & Prioritas Program,pem,ORG,0.563
0,Negative,Kebijakan & Prioritas Program,##prov,ORG,0.3013
0,Negative,Kebijakan & Prioritas Program,dki,GPE,0.5538
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9742
0,Negative,Kebijakan & Prioritas Program,202,CRD,0.2971
0,Negative,Kebijakan & Prioritas Program,satu,CRD,0.5927
0,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.6637
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9867
0,Negative,Kebijakan & Prioritas Program,pram,ORG,0.4148
0,Negative,Kebijakan & Prioritas Program,26,CRD,0.2905
0,Negative,Kebijakan & Prioritas Program,februari,ORG,0.517
0,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.6844
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9558
0,Negative,Kebijakan & Prioritas Program,tiga,CRD,0.8635
0,Negative,Kebijakan & Prioritas Program,hari,ORG,0.6406
0,Negative,Kebijakan & Prioritas Program,nana,PER,0.9773
0,Negative,Kebijakan & Prioritas Program,dki,GPE,0.8234
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9775
0,Negative,Kebijakan & Prioritas Program,##iana,ORG,0.4104
0,Negative,Kebijakan & Prioritas Program,direktur,ORG,0.4285
0,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.66
0,Negative,Kebijakan & Prioritas Program,pak,ORG,0.5973
0,Negative,Kebijakan & Prioritas Program,dwi,PER,0.3665
0,Negative,Kebijakan & Prioritas Program,larso,ORG,0.54
0,Negative,Kebijakan & Prioritas Program,pram,ORG,0.6637
0,Negative,Kebijakan & Prioritas Program,db,ORG,0.6724
0,Negative,Kebijakan & Prioritas Program,pram,ORG,0.4842
0,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.5843
0,Negative,Kebijakan & Prioritas Program,dki,GPE,0.6904
0,Negative,Kebijakan & Prioritas Program,rano,ORG,0.4856
0,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.5498
0,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9653
0,Negative,Kebijakan & Prioritas Program,indonesia,GPE,0.6431
0,Negative,Kebijakan & Prioritas Program,##erul,ORG,0.3702
0,Negative,Kebijakan & Prioritas Program,rr,ORG,0.6864
0,Negative,Kebijakan & Prioritas Program,khair,PER,0.5576
0,Negative,Kebijakan & Prioritas Program,202,CRD,0.2175
0,Negative,Kebijakan & Prioritas Program,ai,PER,0.5541
1,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9975
1,Negative,Kebijakan & Prioritas Program,antara,ORG,0.811
1,Negative,Kebijakan & Prioritas Program,sekretaris komisi e dprd dki jakarta,NOR,0.9713
1,Negative,Kebijakan & Prioritas Program,justin adrian untayana,PER,0.991
1,Negative,Kebijakan & Prioritas Program,lembaga pengelola dana pendidikan,ORG,0.8392
1,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.6579
1,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9944
1,Negative,Kebijakan & Prioritas Program,ban,LAW,0.3047
1,Negative,Kebijakan & Prioritas Program,##so,PRD,0.3767
1,Negative,Kebijakan & Prioritas Program,##s,ORG,0.4406
1,Negative,Kebijakan & Prioritas Program,pemprov dki,NOR,0.8665
1,Negative,Kebijakan & Prioritas Program,bansos,ORG,0.4573
1,Negative,Kebijakan & Prioritas Program,justin,PER,0.996
1,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9962
1,Negative,Kebijakan & Prioritas Program,senin,DAT,0.9449
1,Negative,Kebijakan & Prioritas Program,bansos pendidikan,ORG,0.5825
1,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9911
1,Negative,Kebijakan & Prioritas Program,kartu jakarta pintar,PRD,0.8032
1,Negative,Kebijakan & Prioritas Program,kjp plus,PRD,0.7271
1,Negative,Kebijakan & Prioritas Program,kartu jakarta mahasiswa unggul,PRD,0.7808
1,Negative,Kebijakan & Prioritas Program,kjmu,PRD,0.5399
1,Negative,Kebijakan & Prioritas Program,kedua,CRD,0.7973
1,Negative,Kebijakan & Prioritas Program,justin,PER,0.9979
1,Negative,Kebijakan & Prioritas Program,justin,PER,0.8965
1,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.5872
1,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9522
1,Negative,Kebijakan & Prioritas Program,2027,ORG,0.3955
1,Negative,Kebijakan & Prioritas Program,program,ORG,0.5119
1,Negative,Kebijakan & Prioritas Program,banso,ORG,0.4607
1,Negative,Kebijakan & Prioritas Program,kj,ORG,0.4869
1,Negative,Kebijakan & Prioritas Program,kj,ORG,0.4738
1,Negative,Kebijakan & Prioritas Program,pelajar,ORG,0.5441
1,Negative,Kebijakan & Prioritas Program,pelajar,ORG,0.5738
1,Negative,Kebijakan & Prioritas Program,justin,PER,0.9156
1,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.6134
1,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.9591
1,Negative,Kebijakan & Prioritas Program,ban,ORG,0.5404
1,Negative,Kebijakan & Prioritas Program,##s,ORG,0.5568
1,Negative,Kebijakan & Prioritas Program,lpdp,ORG,0.5935
1,Negative,Kebijakan & Prioritas Program,pem,NOR,0.6771
1,Negative,Kebijakan & Prioritas Program,##prov,ORG,0.4689
1,Negative,Kebijakan & Prioritas Program,dki,GPE,0.5083
1,Negative,Kebijakan & Prioritas Program,jakarta,GPE,0.7945
1,Negative,Kebijakan & Prioritas Program,banso,ORG,0.4386
1,Negative,Kebijakan & Prioritas Program,banso,ORG,0.5286
1,Negative,Kebijakan & Prioritas Program,gubernur,NOR,0.7468
1,Negative,Kebijakan & Prioritas Program,dki,GPE,0.5008
